Ранг популярности,Группа популярности,Название,Стоимость,Подразделение,Категория услуги
155,Приём: специалисты,Кардиолог повторный прием,4240,Кардиология,Приемы специалистов
156,Приём: специалисты,Консультация офтальмолога на приеме другого врача/в стационаре.,1870,Офтальмология,Приемы специалистов
157,Приём: специалисты,Мануальный терапевт первичный прием,3580,Неврология и реабилитация,Приемы специалистов
158,Приём: специалисты,Мануальный терапевт повторный прием,2810,Неврология и реабилитация,Приемы специалистов
159,Приём: специалисты,Мониторинг лечения,1980,Терапия,Приемы специалистов
160,Приём: специалисты,Нефролог первичный прием,4840,Узкие специалисты,Приемы специалистов
161,Приём: специалисты,Нефролог повторный прием,4020,Узкие специалисты,Приемы специалистов
162,Приём: специалисты,Онлайн консультация гастроэнтеролога,4840,Терапия,Приемы специалистов
163,Приём: специалисты,Онлайн консультация гематолога,5000,Узкие специалисты,Приемы специалистов
164,Приём: специалисты,Онлайн консультация диетолога,4840,Диетология,Приемы специалистов
165,Приём: специалисты,Онлайн консультация инфекциониста,4840,Узкие специалисты,Приемы специалистов
166,Приём: специалисты,Онлайн консультация кардиолога,5500,Кардиология,Приемы специалистов
167,Приём: специалисты,Онлайн консультация нефролога,4840,Узкие специалисты,Приемы специалистов
168,Приём: специалисты,Онлайн консультация офтальмолога,4840,Офтальмология,Приемы специалистов
169,Приём: специалисты,Онлайн консультация повторная,2860,Терапия,Приемы специалистов
170,Приём: специалисты,Онлайн консультация пульмонолога,5500,Узкие специалисты,Приемы специалистов
171,Приём: специалисты,Онлайн консультация хирурга,4070,Хирургия,Приемы специалистов
172,Приём: специалисты,Онлайн консультация хирурга-ортопеда,4840,Хирургия,Приемы специалистов
173,Приём: специалисты,Онлайн консультация эндокринолога,5080,Узкие специалисты,Приемы специалистов
174,Приём: специалисты,Офтальмолог первичный прием,4840,Офтальмология,Приемы специалистов
175,Приём: специалисты,Офтальмолог повторный прием,3850,Офтальмология,Приемы специалистов
176,Приём: специалисты,Первичный прием специалиста по кинезиотейпированию,1270,Неврология и реабилитация,Приемы специалистов
177,Приём: специалисты,Первичный приём гематолога,5000,Узкие специалисты,Приемы специалистов
178,Приём: специалисты,Повторный прием специалиста по кинезиотейпированию,580,Неврология и реабилитация,Приемы специалистов
179,Приём: специалисты,Повторный приём гематолога,4250,ОАРИТ,Приемы специалистов
180,Приём: специалисты,Прием анестезиолога,2810,Анестезиология,Приемы специалистов
181,Приём: специалисты,Прием врача интенсивной терапии,3630,ОАРИТ,Приемы специалистов
182,Приём: специалисты,Прием хирурга + анестезиолога,5830,Хирургия,Приемы специалистов
183,Приём: специалисты,Приём диетолога,4840,Диетология,Приемы специалистов
184,Приём: специалисты,Приём кардиолога + ЭХО КГ,9570,Кардиология,Приемы специалистов
185,Приём: специалисты,Пульмонолог первичный прием,5500,Узкие специалисты,Приемы специалистов
186,Приём: специалисты,Пульмонолог повторный прием,4180,Узкие специалисты,Приемы специалистов
187,Приём: специалисты,Хирург ортопед-травматолог первичный прием,4840,Хирургия,Приемы специалистов
188,Приём: специалисты,Хирург ортопед-травматолог повторный прием,3850,Хирургия,Приемы специалистов
189,Приём: специалисты,Хирург первичный прием,4070,Хирургия,Приемы специалистов
190,Приём: специалисты,Хирург повторный прием,2900,Хирургия,Приемы специалистов
191,Приём: специалисты,Эндокринолог первичный прием,5080,Узкие специалисты,Приемы специалистов
192,Приём: специалисты,Эндокринолог повторный прием,4460,Узкие специалисты,Приемы специалистов
193,Профилактика: вакцинация (без бешенства/прочее),"Вакцинация (собаки, хорьки) DHPPI",3470,Терапия,Вакцинация
194,Профилактика: вакцинация (без бешенства/прочее),"Вакцинация (собаки, хорьки) DHPPI +R (Российская)",3470,Терапия,Вакцинация
195,Профилактика: вакцинация (без бешенства/прочее),"Вакцинация (собаки, хорьки) БЕЗ бешенства DHPPI+L",3470,Терапия,Вакцинация
196,Профилактика: вакцинация (без бешенства/прочее),Вакцинация кошек БЕЗ бешенства CPR,3470,Терапия,Вакцинация
197,Профилактика: вакцинация (без бешенства/прочее),Вакцинация кроликов (отечественная вакцина),2920,Терапия экзотических животных,
198,Профилактика: вакцинация (без бешенства/прочее),Вакцинация от вирусного лейкоза кошек (без проведения экспресс-теста),3850,Терапия,Вакцинация
199,Профилактика: вакцинация (без бешенства/прочее),Вакцинация от лептоспироза Lepto (Российская),1960,Терапия,Вакцинация
200,Профилактика: вакцинация (без бешенства/прочее),Вакцинация от лептоспироза Lepto (Чехия),3470,Терапия,Вакцинация
201,Плановая хирургия: кастрация/стерилизация,Кастрация кобеля крипторха/при любых патологиях семенников (анестезия включена),24200,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
202,Плановая хирургия: кастрация/стерилизация,Кастрация кота крипторха (анестезия включена),13310,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
203,Плановая хирургия: кастрация/стерилизация,Кастрация кошки при патологических процессах матки и/или яичников (анестезия включена),23600,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
204,Плановая хирургия: кастрация/стерилизация,Кастрация суки при патологиях матки и/или яичников (анестезия включена),33760,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
205,Плановая хирургия: кастрация/стерилизация,Кесарево сечение кошки с/без последующей кастрации (анестезия включена),28310,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
206,Плановая хирургия: кастрация/стерилизация,Кесарево сечение суки с/без последующей кастрации (анестезия включена),39930,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
207,Плановая хирургия: кастрация/стерилизация,Лапароскопическая кастрация кошки (анестезия включена),19360,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
208,Плановая хирургия: кастрация/стерилизация,"Лапароскопическая кастрация кошки (анестезия не включена, только для случаев одновременного проведения двух операций)",14520,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
209,Плановая хирургия: кастрация/стерилизация,Лапароскопическая кастрация суки (анестезия включена),31460,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
210,Плановая хирургия: кастрация/стерилизация,"Лапароскопическая кастрация суки (анестезия не включена, только для случаев одновременного проведения двух операций)",23600,Хирургия,"Операции на мочеполовой системе (кастрации, стерилизации)"
211,Стоматология: прочее,"Ампутация коронки зуба (при резорбции), 1 зуб",1270,Стоматология,Хирургия в стоматологии
212,Стоматология: прочее,Анестезия аппликационная (1 блок),250,Стоматология,Анестезиология
