Ранг популярности,Группа популярности,Название,Стоимость,Подразделение,Категория услуги
304,Лаборатория: специализированная,"Биохимия крови профиль ЭЛЕКТРОЛИТЫ (калий, натрий, хлор, кальций, фосфор, магний)",2020,Лаборатория,Лаборатория. Биохимические анализы
305,Лаборатория: специализированная,"Биохимия крови РАСШИРЕННЫЙ профиль  (АЛТ, альбумин, глобулин, АСТ, белок общий, билирубин общий, ГГТ, глюкоза, калий, кальций, креатинин, мочевина, натрий, триглицериды, фосфор, холестерин, хлор, ЩФ)",7700,Лаборатория,Лаборатория. Биохимические анализы
306,Лаборатория: специализированная,"Биохимия крови сухая экспресс (белок общий, альбумин, АЛТ, АСТ, щелочная фосфатаза, креатинин, мочевина, креатинкиназа, глюкоза, ЛДГ)",2000,Лаборатория,Лаборатория. Биохимические анализы
307,Лаборатория: специализированная,"Биохимия крови сухая экспресс расширенная (белок общий, альбумин, АЛТ, АСТ, ГГТ, щелочная фосфатаза, общий билирубин, желчные кислоты, креатинин, мочевина, креатинкиназа, альфа-амилаза, глюкоза, общий холестерин, кальций, фосфор)",3000,Лаборатория,Лаборатория. Биохимические анализы
308,Лаборатория: специализированная,"Биохимия почечный профиль (альбумин, белок общий, глюкоза, калий, кальций, креатинин, мочевина, натрий, фосфор, хлор)",4460,Лаборатория,Лаборатория. Биохимические анализы
309,Лаборатория: специализированная,"Биохимия почечный профиль для рептилий (общий белок, мочевая кислота, кальций, фосфор)",1900,Лаборатория,Лаборатория. Биохимические анализы
310,Лаборатория: специализированная,"Биохимия профиль для грызунов (креатинин, мочевина, билирубин общий, АСТ,АЛТ,ГГТ)",2640,Лаборатория,Лаборатория. Биохимические анализы
311,Лаборатория: специализированная,"Биохимия расширенный профиль для грызунов (креатинин, мочевина, билирубин общий, АСТ, ГГТ, АЛТ, калий, натрий, хлор)",4070,Лаборатория,Лаборатория. Биохимические анализы
312,Лаборатория: специализированная,"Биохимия СТАЦИОНАРНЫЙ профиль (креатинин, мочевина, общий белок, альбумин, глобулин, билирубин общий, АСТ, АЛТ, ЩФ, фосфор, калий, натрий, лактат)",4350,Лаборатория,Лаборатория. Биохимические анализы
313,Лаборатория: специализированная,Борнавирус,850,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
314,Лаборатория: специализированная,Боррелиоз (ИФА),3360,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
315,Лаборатория: специализированная,"Бруцеллез MRSAT (реакция агглютинации, диагностика Brucella canis)",7480,Лаборатория,Лаборатория. Серологические исследования
316,Лаборатория: специализированная,"ВакциЧек, определение антител класса IgG к аденовирусу тип I (вирусный гепатит собак (СAV I), парвовирусу (CPV), чуме плотоядных (CDV)",3360,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
317,Лаборатория: специализированная,"ВакциЧек, определение антител класса IgG к вирусу панлейкопении (FPV), калицивирусу (FCV), герпес вирусу (FHV)",3360,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
318,Лаборатория: специализированная,Вальпроевая кислота,2310,Лаборатория,Лаборатория. Биохимические анализы
319,Лаборатория: специализированная,Вирус чумы плотоядных (CDV) (ХОРЬКИ),1500,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
320,Лаборатория: специализированная,Вирусный иммунодефицит кошек (ИХ) экспресс,1020,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
321,Лаборатория: специализированная,Вирусный лейкоз определение антигена р27 FeLv (Feline leukemia virus) (тИФА),4500,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
322,Лаборатория: специализированная,Выявление клональности лимфоцитов PARR (ПОИСК),6770,Лаборатория,Лаборатория. Генетические исследования
323,Лаборатория: специализированная,Газы крови,2890,Лаборатория,Лаборатория. Биохимические анализы
324,Лаборатория: специализированная,Гастрин,1390,Лаборатория,Лаборатория. Гормональные исследования
325,Лаборатория: специализированная,ГГТ (гамма-глутамилтрансфераза),690,Лаборатория,Лаборатория. Биохимические анализы
326,Лаборатория: специализированная,Гематокрит/Гемоглобин/Лейкоциты (HCT/HGB/WBC) 3-diff,600,Лаборатория,Лаборатория. Гематологические исследования
327,Лаборатория: специализированная,Ген Fluffy. Аллель L1,3000,Лаборатория,Лаборатория. Генетические исследования
328,Лаборатория: специализированная,"Генетика  Объем мышечной массы уиппетов (""bully""). Породы: уиппет",3190,Лаборатория,Лаборатория. Генетические исследования
329,Лаборатория: специализированная,Генетика Абиссинская кошка / Бенгальская кошка /Сомали Группа крови кошек Дефицит пируваткиназы Прогрессирующая атрофия сетчатки rdAc,4460,Лаборатория,Лаборатория. Генетические исследования
330,Лаборатория: специализированная,Генетика Болезнь фон Виллебранта I-го типа,4180,Лаборатория,Лаборатория. Генетические исследования
331,Лаборатория: специализированная,Генетика Британская короткошерстная Группа крови кошек Поликистоз почек,2920,Лаборатория,Лаборатория. Генетические исследования
332,Лаборатория: специализированная,Генетика Ген D (не все породы): D (интенсивный окрас); d (осветленный окрас),3360,Лаборатория,Лаборатория. Генетические исследования
333,Лаборатория: специализированная,Генетика Ген E (палевый): Е (черный); e (палевый); Em (маска),3360,Лаборатория,Лаборатория. Генетические исследования
334,Лаборатория: специализированная,Генетика Ген K: KB (доминантный черный),3190,Лаборатория,Лаборатория. Генетические исследования
335,Лаборатория: специализированная,Генетика Ген M (мерль): m (не несет аллель окраса мерль); M (мерль),2790,Лаборатория,Лаборатория. Генетические исследования
336,Лаборатория: специализированная,Генетика Гиперурикозурия,2790,Лаборатория,Лаборатория. Генетические исследования
337,Лаборатория: специализированная,Генетика Гониодисгенез и глаукома колли (GGD),3190,Лаборатория,Лаборатория. Генетические исследования
338,Лаборатория: специализированная,Генетика Два гена окраса,5750,Лаборатория,Лаборатория. Генетические исследования
339,Лаборатория: специализированная,Генетика Дегенеративная миелопатия собак ДМ,4070,Лаборатория,Лаборатория. Генетические исследования
340,Лаборатория: специализированная,Генетика Дилятационная кардиомиопатия (ген LMNA),3300,Лаборатория,Лаборатория. Генетические исследования
341,Лаборатория: специализированная,Генетика Длина шерсти собак,3520,Лаборатория,Лаборатория. Генетические исследования
342,Лаборатория: специализированная,Генетика Каждое дополнительное животное к установлению отцовства,4840,Лаборатория,Лаборатория. Генетические исследования
343,Лаборатория: специализированная,Генетика Комплекс для бурбулей,12100,Лаборатория,Лаборатория. Генетические исследования
344,Лаборатория: специализированная,"Генетика Комплекс Королевский и стандартный пудель (Фон Виллебранда, дегенеративная миелопатия, неонатальная энцефалопатия, прогрессирующая атрофия сетчатки)",17600,Лаборатория,Лаборатория. Генетические исследования
345,Лаборатория: специализированная,"Генетика комплекс пудель общий (Фон Виллебранда, дегенеративная миелопатия, прогрессирующая атрофия сетчатки pra-pcrd)",12100,Лаборатория,Лаборатория. Генетические исследования
346,Лаборатория: специализированная,Генетика Комплекс собак (Доберман) Болезнь фон Виллебранда 1-го типа; Дилатационная кардиомиопатия; Нарколепсия доберманов),8090,Лаборатория,Лаборатория. Генетические исследования
347,Лаборатория: специализированная,Генетика Кошки Дефицит эритроцитарной пируваткиназы,2310,Лаборатория,Лаборатория. Генетические исследования
348,Лаборатория: специализированная,"Генетика Куцевохвостость Породы: австралийская овчарка, австрийский пинчер, австралийская пастушья собака, бурбонский брак, бразильский терьер, бриттани спаниель, катахула леопард собака, хорватская овчарка, датская/шведская фермерская собака , джек рассе",3190,Лаборатория,Лаборатория. Генетические исследования
349,Лаборатория: специализированная,Генетика Мозжечковая атаксия,3360,Лаборатория,Лаборатория. Генетические исследования
350,Лаборатория: специализированная,Генетика Прогрессирующая атрофия сетчатки (PRA-prcd),4070,Лаборатория,Лаборатория. Генетические исследования
351,Лаборатория: специализированная,Генетика Прогрессирующая атрофия сетчатки (PRA-rcd4),2640,Лаборатория,Лаборатория. Генетические исследования
352,Лаборатория: специализированная,Генетика Создание генетического паспорта (ДНК профиль),5750,Лаборатория,Лаборатория. Генетические исследования
353,Лаборатория: специализированная,Генетика Тест на наследование окраса собак 1 окрас,3800,Лаборатория,Лаборатория. Генетические исследования
354,Лаборатория: специализированная,Генетика Тест на наследование окраса собак 2 окраса,6440,Лаборатория,Лаборатория. Генетические исследования
355,Лаборатория: специализированная,Генетика Тест на наследование окраса собак 3 окраса,8690,Лаборатория,Лаборатория. Генетические исследования
356,Лаборатория: специализированная,Генетика Тест на наследование окраса собак 4 окраса,11880,Лаборатория,Лаборатория. Генетические исследования
357,Лаборатория: специализированная,Генетика Тест на носительство коричневого окраса (Ген В),4460,Лаборатория,Лаборатория. Генетические исследования
358,Лаборатория: специализированная,Генетика Три гена окраса,7700,Лаборатория,Лаборатория. Генетические исследования
359,Лаборатория: специализированная,"Генетика Установление отцовства (2 животных, щенок+кобель)",9010,Лаборатория,Лаборатория. Генетические исследования
360,Лаборатория: специализированная,Генетика Четыре гена окраса,9790,Лаборатория,Лаборатория. Генетические исследования
361,Лаборатория: специализированная,Генетика Чувствительность к медикаментам (MDR 1),3360,Лаборатория,Лаборатория. Генетические исследования
362,Лаборатория: специализированная,Генетика. Собаки (Цвергшнауцер),12710,Лаборатория,Лаборатория. Генетические исследования
363,Лаборатория: специализированная,Генетический комплекс для породы мейн-кун,5390,Лаборатория,Лаборатория. Генетические исследования
364,Лаборатория: специализированная,Генетический комплекс для породы мейн-кун расширенный,7000,Лаборатория,Лаборатория. Генетические исследования
365,Лаборатория: специализированная,"Гистологическое заключение патолога (операционный материал (до 2 блоков) (приготовление препарата + описательная часть: лаб.INVITRO, лаб.CITO)",3470,Лаборатория,Лаборатория. Гистологические исследования
366,Лаборатория: специализированная,"Гистологическое заключение патолога (операционный материал (до 4 блоков) (приготовление препарата + описательная часть: лаб.INVITRO, лаб.CITO)",4500,Лаборатория,Лаборатория. Гистологические исследования
367,Лаборатория: специализированная,"Гистологическое заключение патолога (операционный материал (до 6 блоков) (приготовление препарата + описательная часть: лаб.INVITRO, лаб.CITO)",5780,Лаборатория,Лаборатория. Гистологические исследования
368,Лаборатория: специализированная,Гистологическое заключение патолога UNIM (операционный материал до 2-х блоков),5390,Лаборатория,Лаборатория. Гистологические исследования
369,Лаборатория: специализированная,Гистологическое заключение патолога UNIM (операционный материал до 6-х блоков),6990,Лаборатория,Лаборатория. Гистологические исследования
370,Лаборатория: специализированная,Гистологическое исследование готовых стекол (второе мнение) с заключением ( стекла+ парафиновый блок),4400,Лаборатория,Лаборатория. Гистологические исследования
371,Лаборатория: специализированная,"Гистологическое исследование кожи (приготовление препарата до 6 блоков, до 6 стекол + описательная часть) Дерматогистопатология",6990,Лаборатория,Лаборатория. Гистологические исследования
372,Лаборатория: специализированная,Гистологическое исследование некропсийного материала  (приготовление препарата + описательная часть),12100,Лаборатория,Лаборатория. Гистологические исследования
373,Лаборатория: специализированная,"Глазной профиль КОШЕК (герпесвирус кошек (FHV-1), микоплазма (M. felis), хламидия (C. felis))",4460,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
374,Лаборатория: специализированная,"Глистные инвазии собак/кошек, комплекс, ИФА LgG (аскаридоз, токсокароз, описторхоз, цестоды) ИФА",3990,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
375,Лаборатория: специализированная,Глобулин,350,Лаборатория,Лаборатория. Биохимические анализы
376,Лаборатория: специализированная,Глюкоза,690,Лаборатория,Лаборатория. Биохимические анализы
377,Лаборатория: специализированная,Декальцинация,1160,Лаборатория,Лаборатория. Гистологические исследования
378,Лаборатория: специализированная,Дефицит железа в организме (ПОИСК),1500,Лаборатория,Лаборатория. Биохимические анализы
379,Лаборатория: специализированная,Дефицит пируваткиназы (лаб.Поиск),3930,Лаборатория,Лаборатория. Генетические исследования
380,Лаборатория: специализированная,Диагностика лейшманиоза методом ИФА собак (определение уровня IgG к Leishmania infantum),3800,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
381,Лаборатория: специализированная,Диагностика Описторхоза (ПОИСК),1900,Лаборатория,Лаборатория. Паразитология
382,Лаборатория: специализированная,Дигоксин (кровь),4620,Лаборатория,Лаборатория. Биохимические анализы
383,Лаборатория: специализированная,Дигоксин (моча),4620,Лаборатория,Лаборатория. Биохимические анализы
384,Лаборатория: специализированная,Дисбактериоз  (с чувствительностью),4180,Лаборатория,Лаборатория. Микробиологические исследования
385,Лаборатория: специализированная,Дополнительная локализация к цитологическому исследованию ТИАБ,1160,Лаборатория,Лаборатория. Цитологические исследования
386,Лаборатория: специализированная,Дополнительное окрашивание гистосреза,920,Лаборатория,Лаборатория. Гистологические исследования
387,Лаборатория: специализированная,Дополнительное окрашивание и микроскопия,950,Лаборатория,Лаборатория. Прочие исследования
388,Лаборатория: специализированная,Железо,690,Лаборатория,Лаборатория. Биохимические анализы
389,Лаборатория: специализированная,"ЖЕЛУДОЧНО-КИШЕЧНЫЙ (Амебиаз, Криптоспоридиоз, Лямблиоз, Мегабактериоз, Ротавирусная инфекция, Сальмонеллез, Трихомоноз)",9790,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
390,Лаборатория: специализированная,"Желудочно-кишечный большой профиль КОШЕК (вирус панлейкопении (FPV), коронавирус кошек (FCoV), токсоплазма (Toxoplasma gondii), гиардиа (Giardia spp.), криптоспоридии (Cryptosporidium spp.), trichomonas blagburni (foetus))",9510,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
391,Лаборатория: специализированная,"Желудочно-кишечный большой профиль СОБАК  (парвовирус собак (CPV 2), коронавирус собак (CCoV 1), аденовирус 1 типа (вирус гепатита собак, CAV 1), вирус чумы плотоядных (CDV), гиардиа (Giardia spp.), криптоспоридии (Cryptosporidium spp.)), ротавирус (Rotav",9010,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
392,Лаборатория: специализированная,"Желудочно-кишечный профиль КОШЕК (вирус панлейкопении (FPV), коронавирус кошек (FCoV), токсоплазма (Toxoplasma gondii))",4730,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
393,Лаборатория: специализированная,"Желудочно-кишечный профиль СОБАК (парвовирус собак (CPV 2), коронавирус собак (CCoV 1), аденовирус 1 типа (вирус гепатита собак, CAV 1), вирус чумы плотоядных (CDV))",5310,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
394,Лаборатория: специализированная,"Желудочно-кишечный расширенный профиль СОБАК  (парвовирус собак (CPV 2), коронавирус собак (CCoV 1), аденовирус 1 типа (вирус гепатита собак, CAV 1), вирус чумы плотоядных (CDV), гиардиа (Giardia spp.), криптоспоридии (Cryptosporidium spp.)), ротавирус (R",9010,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
395,Лаборатория: специализированная,"Желудочно-кишечный стандартный профиль КОШЕК (вирус панлейкопении (FPV), коронавирус кошек (FCoV), токсоплазма (Toxoplasma gondii), гиардиа (Giardia spp.), криптоспоридии (Cryptosporidium spp.))",7920,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
396,Лаборатория: специализированная,"ИГХ исследование при лимфоидных нозологиях у собак/кошек (3 АТ: CD3, PAX5, Ki67)",9790,Лаборатория,Лаборатория. Гистологические исследования
397,Лаборатория: специализированная,Изготовление 1 блока и 1 стекла UNIM,640,Лаборатория,Лаборатория. Гистологические исследования
398,Лаборатория: специализированная,Иммуногистохимия (1 антитело),3190,Лаборатория,Лаборатория. Гистологические исследования
399,Лаборатория: специализированная,Иммуногистохимия (2 антитела),6440,Лаборатория,Лаборатория. Гистологические исследования
400,Лаборатория: специализированная,Иммуногистохимия (комплекс антител),11880,Лаборатория,Лаборатория. Гистологические исследования
401,Лаборатория: специализированная,Иммуногистохимия (приготовление препарата + одно антитело),9350,Лаборатория,Лаборатория. Гистологические исследования
402,Лаборатория: специализированная,Иммунодефицит антитела класса IgG к FIV (Feline immunodeficiency virus) (тИФА),3300,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
403,Лаборатория: специализированная,Иммуноцитохимия,5170,Лаборатория,Лаборатория. Прочие исследования
404,Лаборатория: специализированная,Инсулин,1740,Лаборатория,Лаборатория. Гормональные исследования
405,Лаборатория: специализированная,Ионизированный кальций,920,Лаборатория,Лаборатория. Биохимические анализы
406,Лаборатория: специализированная,Исследование кала на скрытую кровь Экспресс (Исследование кала и системы пищеварения),690,Лаборатория,Лаборатория. Биохимические анализы
407,Лаборатория: специализированная,"Исследование клеща на Анаплазма (A. phagocytophilum и A.platys,  дифференциальная диагностика)",770,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
408,Лаборатория: специализированная,Исследование клеща на Бабезия (Babesia spp.),1650,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
409,Лаборатория: специализированная,Исследование клеща на Боррелия (Borrelia burgdorferi sensu lato),580,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
410,Лаборатория: специализированная,Исследование клеща на Эрлихия (E. canis),1500,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
411,Лаборатория: специализированная,"Исследование крови, мочи или ткани на содержание мышьяка, ртути, железа, цинка, свинца, кадмия Метод ААС",6160,Лаборатория,Лаборатория. Биохимические анализы
412,Лаборатория: специализированная,Исследование на Brucella canis RSAT/2ME-RSAT,5750,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
413,Лаборатория: специализированная,Исследование на дерматомикозы (трихоскопия),1390,Лаборатория,Лаборатория. Цитологические исследования
414,Лаборатория: специализированная,Исследование на микрофилярий по методу Кнотта,1100,Лаборатория,Лаборатория. Паразитология
415,Лаборатория: специализированная,Исследование на наличие кровепаразитов,1270,Лаборатория,Лаборатория. Паразитология
416,Лаборатория: специализированная,Исследование на отодектоз,1160,Лаборатория,Лаборатория. Паразитология
417,Лаборатория: специализированная,Исследование на уровень 25-ОН витамина D,3060,Лаборатория,Лаборатория. Биохимические анализы
418,Лаборатория: специализированная,Исследование на уровень кобаламина (витамина В12) в корме (ГХ/МС),2540,Лаборатория,Лаборатория. Биохимические анализы
419,Лаборатория: специализированная,"Исследование на уровень кобаламина (цианкобаламина, витамина В12)",1390,Лаборатория,Лаборатория. Биохимические анализы
420,Лаборатория: специализированная,Исследование на уровень тиамина (витамина В1) в корме (ГХ/МС),2540,Лаборатория,Лаборатория. Биохимические анализы
421,Лаборатория: специализированная,Исследование на уровень фолиевой кислоты (витамина В9),1390,Лаборатория,Лаборатория. Биохимические анализы
422,Лаборатория: специализированная,Исследование смыва из зоба,770,Лаборатория,Лаборатория. Птицы
423,Лаборатория: специализированная,Исследование соскоба с кожи на эктопаразитов,1620,Лаборатория,Лаборатория. Паразитология
424,Лаборатория: специализированная,Исследование спермы,1790,Лаборатория,Лаборатория. Мочеполовая система
425,Лаборатория: специализированная,ИХ Клостридиальный энтеротоксин (Clostridium perfringens),1500,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
426,Лаборатория: специализированная,Ихтиоз голден ретриверов (ICT-A),4620,Лаборатория,Лаборатория. Генетические исследования
427,Лаборатория: специализированная,Кальций общий,690,Лаборатория,Лаборатория. Биохимические анализы
428,Лаборатория: специализированная,"Кишечная патогенная флора» ПЦР (кампилобактериоз, энтеротоксин А Clostridium perfringens, сальмонеллез, веротоксин Escherichia coli)",4200,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
429,Лаборатория: специализированная,"Коагулограмма (АЧТВ,протромбиновое время,тромбиновое время,фибриноген)",3470,Лаборатория,Лаборатория. Исследования гемостаза
430,Лаборатория: специализированная,Коагулограмма 1 показатель,920,Лаборатория,Лаборатория. Исследования гемостаза
431,Лаборатория: специализированная,Коагулограмма сокращенная (АЧТВ + ПВ),1740,Лаборатория,Лаборатория. Исследования гемостаза
432,Лаборатория: специализированная,Количественное определение вирусной нагрузки ДНК вируса лейкоза кошек FeLV,4050,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
433,Лаборатория: специализированная,Количественное определение вирусной нагрузки РНК вируса лейкоза кошек FeLV,4050,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
434,Лаборатория: специализированная,"Комплексное бактериологическое и микологическое исследование с определением чувствительности к антибиотикам, бактериофагам и антимикотикам",4180,Лаборатория,Лаборатория. Микробиологические исследования
435,Лаборатория: специализированная,Комплексное исследование на токсические вещества в крови (Шанс Био),22000,Лаборатория,Лаборатория. Биохимические анализы
436,Лаборатория: специализированная,"Комплексное паразитологическое исследование (паразитология + лямблиоз (ИХ, АГ) + криптоспоридиоз (ИХ, АГ)",4460,Лаборатория,Лаборатория. Паразитология
437,Лаборатория: специализированная,Комплексный анализ на основные аминокислоты (13 показателей) Метод ВЭЖХ,5830,Лаборатория,Лаборатория. Биохимические анализы
438,Лаборатория: специализированная,"Комплексный химический анализ крови (М1), мочи (М2) или волос (М3) на микроэлементы (25 показателей) Метод ИСП-МС",8690,Лаборатория,Лаборатория. Биохимические анализы
439,Лаборатория: специализированная,Комплексный химический анализ крови на витамины (12 показателей) Метод ВЭЖХ,25740,Лаборатория,Лаборатория. Биохимические анализы
440,Лаборатория: специализированная,Комплексный химический анализ крови на витамины гр. В (7 показателей) Метод ВЭЖХ,23430,Лаборатория,Лаборатория. Биохимические анализы
441,Лаборатория: специализированная,Комплексный химический анализ крови на жирорастворимые витамины (4 показателя),13200,Лаборатория,Лаборатория. Биохимические анализы
442,Лаборатория: специализированная,Коронавирус хорьков системный  (FRSCV) (ХОРЬКИ),2420,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
443,Лаборатория: специализированная,Коронавирус хорьков энтеральный (FEC) (ХОРЬКИ),2420,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
444,Лаборатория: специализированная,Кортизол,2200,Лаборатория,Лаборатория. Гормональные исследования
445,Лаборатория: специализированная,Креатинин,690,Лаборатория,Лаборатория. Биохимические анализы
446,Лаборатория: специализированная,Криптоспоридиоз,690,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
447,Лаборатория: специализированная,"Кровопаразитарный большой профиль СОБАК (анаплазма (A. phagocytophilum и A.platys), бабезия (Babesia spp.), бабезия Гибсона (Babesia gibsoni), эрлихия (E. canis), гемоплазма (C.M. haemocanis))",6440,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
448,Лаборатория: специализированная,"Кровопаразитарный малый профиль СОБАК (анаплазма (A. phagocytophilum и A.platys), бабезия (Babesia spp.), эрлихия (E. canis))",3700,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
449,Лаборатория: специализированная,"Кровопаразитарный профиль КОШЕК (анаплазма (A. phagocytophilum и A.platys), бабезия (Babesia spp.), эрлихия (E. canis))",5080,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
450,Лаборатория: специализированная,"Кровопаразитарный расширенный профиль СОБАК (анаплазма (A. phagocytophilum и A.platys), бабезия (Babesia spp.), бабезия Гибсона (Babesia gibsoni), эрлихия (E. canis), гемоплазма (C.M. haemocanis), гепатозоон (H. canis), лейшмания (Leishmania spp.), дирофи",9010,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
451,Лаборатория: специализированная,Лактат (молочная кислота),580,Лаборатория,Лаборатория. Биохимические анализы
452,Лаборатория: специализированная,ЛДГ (лактатдегидрогеназа),690,Лаборатория,Лаборатория. Биохимические анализы
453,Лаборатория: специализированная,Лейкоцитарная формула (микроскопия мазка крови),1500,Лаборатория,Лаборатория. Гематологические исследования
454,Лаборатория: специализированная,Лекарственный мониторинг вещества не входящего в перечень препаратов (необходимо предварительное согласование и образец принимаемого препарата),4460,Лаборатория,Лаборатория. Биохимические анализы
455,Лаборатория: специализированная,Липаза панкреатическая (кошки),3470,Лаборатория,Лаборатория. Биохимические анализы
456,Лаборатория: специализированная,Липаза панкреатическая (собаки),3470,Лаборатория,Лаборатория. Биохимические анализы
457,Лаборатория: специализированная,Листериоз,690,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
458,Лаборатория: специализированная,Магний,690,Лаборатория,Лаборатория. Биохимические анализы
459,Лаборатория: специализированная,"Малая\ Большая дексаметазоновая проба (три определения кортизола), проведение теста (дневной стационар включен)",8420,Лаборатория,Лаборатория. Гормональные исследования
460,Лаборатория: специализированная,Мегабактериоз,850,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
461,Лаборатория: специализированная,"Микобактериозы (Mycobacterium spp., M. avium, M. bovis, M. genavense, M. intracellulare M. tuberculosis)",4460,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
