Название,Стоимость,Подразделение,Категория услуги
"Кровопаразитарный малый профиль СОБАК (анаплазма (A. phagocytophilum и A.platys), бабезия (Babesia spp.), эрлихия (E. canis))",3700,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
"Кровопаразитарный профиль КОШЕК (анаплазма (A. phagocytophilum и A.platys), бабезия (Babesia spp.), эрлихия (E. canis))",5080,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
"Кровопаразитарный расширенный профиль СОБАК (анаплазма (A. phagocytophilum и A.platys), бабезия (Babesia spp.), бабезия Гибсона (Babesia gibsoni), эрлихия (E. canis), гемоплазма (C.M. haemocanis), гепатозоон (H. canis), лейшмания (Leishmania spp.), дирофи",9010,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
"Ксила, фл. 50мл (1 мл) (введение на приёме/в стационаре)",110,Аптека и склад,Препараты
Купирование ушей до 7 дней ( по медицинским показаниям),10160,Хирургия,Амбулаторная хирургия
Купирование ушей после 7 дней ( по медицинским показаниям),15250,Хирургия,Амбулаторная хирургия
Купирование хвоста до 7 дней ( по медицинским показаниям),2540,Хирургия,Амбулаторная хирургия
Купирование хвоста после 7 дней ( по медицинским показаниям),15250,Хирургия,Амбулаторная хирургия
Кюретаж головки плечевой кости при расслаивающем остеохондрите (до 10 кг) (Кюретаж  голловки  плечевой  кости  при  расслаивающем  остеохондрите),20330,Хирургия,Травматология и ортопедия
Кюретаж головки плечевой кости при расслаивающем остеохондрите (собаки 10 - 25 кг),20330,Хирургия,Травматология и ортопедия
Кюретаж головки плечевой кости при расслаивающем остеохондрите (собаки более 25 кг),20330,Хирургия,Травматология и ортопедия
Кюретаж суставной поверхности бедренной кости при расслаивающем остеохондрите (собаки 10 - 25 кг),20330,Хирургия,Травматология и ортопедия
Кюретаж суставной поверхности бедренной кости при расслаивающем остеохондрите (собаки более 25 кг),20330,Хирургия,Травматология и ортопедия
Лактат (молочная кислота),580,Лаборатория,Лаборатория. Биохимические анализы
Ламиноэктомия у животных в грудопоясничном отделе (до 10 кг),44470,Хирургия,Травматология и ортопедия
Ламиноэктомия у животных в грудопоясничном отделе (собаки 10 - 25 кг),44470,Хирургия,Травматология и ортопедия
Ламиноэктомия у животных в грудопоясничном отделе (собаки более 25 кг),44470,Хирургия,Травматология и ортопедия
Лангета на грудную конечность,2540,Хирургия,Расходные материалы
"Лапароцентез с аспирацией, пациенты до 20 кг",3470,Визуальная диагностика,Диагностика
Ларингоскопия,6050,Хирургия,Эндоскопия
Ларингоскопия (+ извлечение инородного тела),7260,Хирургия,Эндоскопия
"Латран р-р для в/в и в/м введения 2 мг/мл, 2 мл, №5 (1 амп) (введение на приёме/в стационаре)",150,Аптека и склад,Препараты
ЛДГ (лактатдегидрогеназа),690,Лаборатория,Лаборатория. Биохимические анализы
"Левемир Флекс-Пен шприц-ручка 100 МЕ/мл 3 мл, (1 шт) (введение на приёме/в стационаре)",1320,Аптека и склад,Препараты
"Левомеколь, мазь для наруж. прим-я, туба, 40г (введение на приёме/в стационаре)",310,Аптека и склад,Препараты
Вирусный лейкоз определение антигена р27 FeLv (Feline leukemia virus) (тИФА),4500,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
Лейкоцитарная формула (микроскопия мазка крови),1500,Лаборатория,Лаборатория. Гематологические исследования
Лекарственный мониторинг вещества не входящего в перечень препаратов (необходимо предварительное согласование и образец принимаемого препарата),4460,Лаборатория,Лаборатория. Биохимические анализы
Лечение фимоза и парафимоза (собаки до 25 кг),16520,Хирургия,Общая хирургия
Лечение фимоза и парафимоза (собаки более 25 кг),16520,Хирургия,Общая хирургия
Лечение фолликулярного конъюктивита,3360,Офтальмология,Офтальмологические манипуляции
Лигирование внепеченочного портосистемного шунта,50820,Хирургия,Общая хирургия
Лидокаин р-р д/ин. амп. 2мл  (1 амп) (введение на приёме/в стационаре),150,Аптека и склад,Препараты
Лимфоаденэктомия (кошки и собаки до 10 кг),18760,Хирургия,Общая хирургия
Лимфоаденэктомия (собаки 10 - 25 кг),18760,Хирургия,Общая хирургия
Лимфоаденэктомия (собаки более 25 кг),18760,Хирургия,Общая хирургия
"Линкомицин 10%, фл. 10мл, 5фл./уп (введение на приёме/в стационаре)",150,Аптека и склад,Препараты
Магний,690,Лаборатория,Лаборатория. Биохимические анализы
Магния сульфат р-р д/ин. 25% амп. 5мл №10 (1 амп.) (введение на приёме/в стационаре),150,Аптека и склад,Препараты
"Малая\ Большая дексаметазоновая проба (три определения кортизола), проведение теста (дневной стационар включен)",8420,Лаборатория,Лаборатория. Гормональные исследования
Маннит р-р д/инф. 150мг/мл бут. 200мл (введение на приёме/в стационаре),250,Аптека и склад,Препараты
Марсупиализация абсцесса (2 категория),11440,Хирургия,Амбулаторная хирургия
Марсупиализация кист предстательной железы с одномоментной кастрацией (собаки 10 - 25 кг),30490,Хирургия,Общая хирургия
Марсупиализация кист предстательной железы с одномоментной кастрацией (без учета анестезии),30490,Хирургия,Общая хирургия
Марфлоксин таб. 20мг №10,1120,Аптека и склад,Препараты
Марфлоксин таб. 5мг №10,830,Аптека и склад,Препараты
Медиальная пластика век (оба глаза),20000,Офтальмология,Хирургия в офтальмологии
Межгрудино-лопаточная ампутация (до 10 кг),44470,Хирургия,Травматология и ортопедия
Межгрудино-лопаточная ампутация (собаки 10 - 25 кг),44470,Хирургия,Травматология и ортопедия
Межгрудино-лопаточная ампутация (собаки более 25 кг),44470,Хирургия,Травматология и ортопедия
"Мелоксивет 0,2%, раствор п/к, фл. (1мл) (введение на приёме/в стационаре)",150,Аптека и склад,Препараты
Демонтаж металлоконструкций,7620,Хирургия,Травматология и ортопедия
"Метронидазол (Бацимекс, Метрогил) р-р д/ин. 0,5% фл. 100мл (введение на приёме/в стационаре)",210,Аптека и склад,Препараты
Метронидазол таб. 250мг №20 (введение на приёме/в стационаре),150,Аптека и склад,Препараты
Механическая чистка зубов,1160,Стоматология,Стоматология
Микролакс клизма 5мл №12 (1шт.) (введение на приёме/в стационаре),190,Аптека и склад,Препараты
Микрочип,1650,Аптека и склад,Расходные материалы
Микроэлементы (медь или цинк),1500,Лаборатория,Лаборатория. Биохимические анализы
"Мирамистин, 0,01%, 50 мл (введение на приёме/в стационаре)",550,Аптека и склад,Препараты
Множественная энтеротомия (кошки и собаки до 10 кг),26690,Хирургия,Общая хирургия
Множественная энтеротомия (собаки 10 - 25 кг),26690,Хирургия,Общая хирургия
Множественная энтеротомия (собаки более 25 кг),26690,Хирургия,Общая хирургия
Мотилиум сусп. для приема внутрь 1мг\мл 100мл (введение на приёме/в стационаре),1650,Аптека и склад,Препараты
Мотилиум Экспресс табл. 10 мг №30 (1 таб) (введение на приёме/в стационаре),130,Аптека и склад,Препараты
Мочевая кислота,690,Лаборатория,Лаборатория. Биохимические анализы
Мочевина,690,Лаборатория,Лаборатория. Биохимические анализы
МПП и ББП (малая и большая перекрестная проба на совместимость),1320,Лаборатория,Лаборатория. Гематологические исследования
"Набор для катетеризации центральных вен, Цертофикс Дуо 720 (введение на приёме/в стационаре)",7100,Аптека и склад,Расходные материалы
"Набор для катетеризации центральных вен, Цертофикс Дуо Пед S413",4460,Аптека и склад,Расходные материалы
Набор для сбора мочи у кошек,520,Аптека и склад,Расходные материалы
"Набор для эпидуральной катетеризации G20 50мм/24G, фильтр, Перификс Пед ONE",3000,Аптека и склад,Расходные материалы
Наклейка мягких коготков (Терапия),1320,Терапия,Уход и гигиена
Наложение временных швов (офтальмология) 2 категория,3820,Офтальмология,Хирургия в офтальмологии
Наложение шва на десну 1 категория,690,Стоматология,Хирургия в стоматологии
Наложение шва на десну 2 категория,990,Стоматология,Хирургия в стоматологии
Натрия гидрокарбонат-Эском р-р д/ин. 5% фл. 200мл (введение на приёме/в стационаре),210,Аптека и склад,Препараты
Натрия хлорид р-р д/ин. 2% амп. 2мл (1 амп) (введение на приёме/в стационаре),150,Аптека и склад,Препараты
"Натрия хлорид р-р д/инф. 0,9% 100 фл. полиэт. (введение на приёме/в стационаре)",210,Аптека и склад,Препараты
"Натрия хлорид р-р д/инф. 0,9% 200 мл бут. (введение на приёме/в стационаре)",280,Аптека и склад,Препараты
"Натрия хлорид р-р д/инф. 0,9% 400 фл. полиэт. (введение на приёме/в стационаре)",310,Аптека и склад,Препараты
"Биохимия крови + Т4 НЕВРОЛОГИЧЕСКИЙ ПРОФИЛЬ (общий белок, альбумин, глобулин, АЛТ, АСТ, ЩФ, ГГТ, билирубин общий, глюкоза, креатинин, мочевина, калий, натрий, хлор)",6010,Лаборатория,Лаборатория. Биохимические анализы
Некардиогенное УЗИ грудной полости,3630,Визуальная диагностика,Диагностика
"Неоспороз антитела класса IgG к Neospora caninum (тИФА, для собак)",9790,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
Нефролог первичный прием,4840,Узкие специалисты,Приемы специалистов
Нефролог повторный прием,4020,Узкие специалисты,Приемы специалистов
"Биохимия крови НЕФРОЛОГИЧЕСКИЙ профиль (альбумин, белок общий, калий, кальций, креатинин, мочевина, фосфор)",2800,Лаборатория,Лаборатория. Биохимические анализы
Нефроэктомия (кошки и собаки до 10 кг),30490,Хирургия,Общая хирургия
Нефроэктомия (собаки 10 - 25 кг),30490,Хирургия,Общая хирургия
Нефроэктомия (собаки более 25 кг),30490,Хирургия,Общая хирургия
Но-шпа р-р для в/в и в/м введ. 2% амп. 2мл (1 амп) (введение на приёме/в стационаре),150,Аптека и склад,Препараты
"Новокаин р-р д/ин. 0,5% амп. 5мл  (1 амп) (введение на приёме/в стационаре)",150,Аптека и склад,Препараты
Новокаин р-р д/ин. 2% амп. 2мл (1 амп) (введение на приёме/в стационаре),150,Аптека и склад,Препараты
Обнаружение ДНК микроспорум (Microsporum spp.),1270,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
Обработка металлоконструкций (1категория),1010,Хирургия,Травматология и ортопедия
Обработка металлоконструкций (2 категория),1940,Хирургия,Травматология и ортопедия
Обработка от эктопаразитов,480,Терапия,Терапевтические манипуляции
Обработка ротовой полости препаратами,910,Терапия,Терапевтические манипуляции
Общая железосвязывающая способность сыворотки крови (ОЖСС+Fe+% насыщения трансферрина),690,Лаборатория,Лаборатория. Биохимические анализы
Общая кремация  >70 кг,16940,Терапия,Эвтаназия и кремация
Общая кремация,4600,Терапия,Эвтаназия и кремация
Общая кремация 10-20 кг,6130,Терапия,Эвтаназия и кремация
Общая кремация 20-30 кг,7320,Терапия,Эвтаназия и кремация
Общая кремация 30-40 кг,8250,Терапия,Эвтаназия и кремация
Общая кремация 40-50 кг,10250,Терапия,Эвтаназия и кремация
Общая кремация 50-70 кг,12320,Терапия,Эвтаназия и кремация
Общая кремация мелких животных до 1 кг,1210,Терапия,Эвтаназия и кремация
Общие желчные кислоты ( 1 исследование),1790,Лаборатория,Лаборатория. Биохимические анализы
Общие желчные кислоты ( 2 исследования),2380,Лаборатория,Лаборатория. Биохимические анализы
Общий анализ мочи (с микроскопией осадка) (Исследования мочеполовой системы),1270,Лаборатория,Лаборатория. Мочеполовая система
Общий белок,690,Лаборатория,Лаборатория. Биохимические анализы
Общий клинический анализ кала (копрограмма),2290,Лаборатория,Лаборатория. Прочие исследования
Общий клинический анализ крови (автоматический подсчет клеток+микроскопия мазка),2290,Лаборатория,Лаборатория. Гематологические исследования
Оксигенотерапия (подключение к концентратору кислорода) 1-6 часа,2310,ОАРИТ,Интенсивная терапия и стационар
Окситоцин-МЭЗ р-р для в/в введ. 5МЕ/мл (1 амп) (введение на приёме/в стационаре),150,Аптека и склад,Препараты
Омез лиоф. для приготовл. р-ра д/инф 40мг (введение на приёме/в стационаре),400,Аптека и склад,Препараты
"Омнипак флаконы 300 мг йода/мл , 20мл (10 мл) (введение на приёме/в стационаре)",520,Аптека и склад,Препараты
"Омнипак флаконы 300 мг йода/мл , 20мл (фл) (введение на приёме/в стационаре)",1100,Аптека и склад,Препараты
"Онсиор 40мг, 28 таб/уп 1 таб. (введение на приёме/в стационаре)",340,Аптека и склад,Препараты
"Онсиор 5мг, 28 таб/уп 1 таб. (введение на приёме/в стационаре)",150,Аптека и склад,Препараты
Онсиор (Робенакоксиб) 6 мг для кошек 1 таб. (введение на приёме/в стационаре),390,Аптека и склад,Препараты
Оперативное вмешательство по поводу хиатальной грыжи (собаки 10 - 25 кг),30490,Хирургия,Общая хирургия
Оперативное вмешательство по поводу хиатальной грыжи (собаки более 25  кг),30490,Хирургия,Общая хирургия
Оперативное вмешательство по поводу хиатальной грыжи (собаки до 10 кг),30490,Хирургия,Общая хирургия
Операция по поводу брахиоцефалического синдрома,23600,Хирургия,Общая хирургия
Операция по поводу диафрагмальной грыжи (кошки и собаки до 10 кг),26690,Хирургия,Общая хирургия
Операция по поводу диафрагмальной грыжи (собаки 10 - 25 кг),26690,Хирургия,Общая хирургия
Операция по поводу диафрагмальной грыжи (собаки более 25 кг),26690,Хирургия,Общая хирургия
Операция по поводу заворота желудка с гастропексией (без спленэктомии),33030,Хирургия,Общая хирургия
Операция по поводу заворота желудка с гастропексией (с спленэктомией),42350,Хирургия,Общая хирургия
Операция по поводу инвагинации кишечника (кошки и собаки до 10 кг),22870,Хирургия,Общая хирургия
Операция по поводу инвагинации кишечника (собаки 10 - 25 кг),22870,Хирургия,Общая хирургия
Операция по поводу инвагинации кишечника (собаки более 25 кг),22870,Хирургия,Общая хирургия
Операция при вобблер-синдроме,58440,Хирургия,Травматология и ортопедия
Операция при переломе позвоночника (до 10 кг),88960,Хирургия,Травматология и ортопедия
Операция при переломе позвоночника (собаки 10 - 25 кг),88960,Хирургия,Травматология и ортопедия
Операция при переломе позвоночника (собаки более 25 кг),88960,Хирургия,Травматология и ортопедия
Мануальное опорожнение мочевого пузыря,850,Терапия,Терапевтические манипуляции
Опорожнение толстого отдела кишечника через лапаротомический доступ (кошки и собаки до 10 кг),22870,Хирургия,Общая хирургия
Опорожнение толстого отдела кишечника через лапаротомический доступ (собаки 10 - 25 кг),22870,Хирургия,Общая хирургия
Опорожнение толстого отдела кишечника через лапаротомический доступ (собаки более 25 кг),22870,Хирургия,Общая хирургия
"Определение белков сыворотки крови (ОБ, альбумин, глобулины) - 6 показателей (Электрофоретические исследования)",2890,Лаборатория,Лаборатория. Биохимические анализы
Определение группы крови (кошки;собаки) Экспресс-тест,3580,Лаборатория,Лаборатория. Гематологические исследования
Определение дня вязки (Прогестерон + Вагинальная цитология ),2800,Лаборатория,Лаборатория. Комплексное исследование
Определение кетонов в крови тест-полоской,250,Лаборатория,Лаборатория. Гематологические исследования
Определение меди в патматериале (ГХ/МС),1850,Лаборатория,Лаборатория. Биохимические анализы
Определение мутации C-KIT (ПОИСК),5390,Лаборатория,Лаборатория. Генетические исследования
С-реактивный белок СРБ (CRP),1850,Лаборатория,Лаборатория. Биохимические анализы
Определение токсинов Clostridium difficile (антигенный тест),2020,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
Остеосинтез в области дистального эпифиза лучевой кости при переломе по типу Сальтер-Харрис (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез в области дистального эпифиза лучевой кости при переломе по типу Сальтер-Харрис (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез в области дистального эпифиза лучевой кости при переломе по типу Сальтер-Харрис (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез множественного перелома проксимального отдела локтевой кости (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез множественного перелома проксимального отдела локтевой кости (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез множественного перелома проксимального отдела локтевой кости (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез перелома в дистальной части лопатки (до 10 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез перелома в дистальной части лопатки (собака 10 - 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез перелома в дистальной части лопатки (собаки более 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез перелома в области тела лопатки (до 10 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез перелома в области тела лопатки (собаки 10 - 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез перелома в области тела лопатки (собаки более 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез перелома в проксимальной части плечевой кости (переломы по типу Сальтер-Харрис) (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез перелома в проксимальной части плечевой кости (переломы по типу Сальтер-Харрис) (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез перелома в проксимальной части плечевой кости (переломы по типу Сальтер-Харрис) (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез перелома по симфизу нижней челюсти (до 10 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез перелома по симфизу нижней челюсти (собаки 10 - 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез перелома по симфизу нижней челюсти (собаки более 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном переломе диафиза бедренной кости (до 10 кг),35570,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном переломе диафиза бедренной кости (собаки 10 - 25 кг),35570,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном переломе диафиза бедренной кости (собаки более 25 кг),35570,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном переломе диафиза большеберцовой кости (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном переломе диафиза большеберцовой кости (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном переломе диафиза большеберцовой кости (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном переломе диафиза лучевой кости (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном переломе диафиза лучевой кости (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном переломе диафиза лучевой кости (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном/сложном иррегулярном переломе ветви нижней челюсти (до 10 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном/сложном иррегулярном переломе ветви нижней челюсти (собаки 10 - 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидном/сложном иррегулярном переломе ветви нижней челюсти (собаки более 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидом переломе диафиза плечевой кости (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидом переломе диафиза плечевой кости (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при клиновидом переломе диафиза плечевой кости (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломах костей запястья (до 10 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломах костей запястья (собаки 10 - 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломах костей запястья (собаки более 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в области проксимального эпифиза большеберцовой кости (Сальтер-Харрис) (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в области проксимального эпифиза большеберцовой кости (Сальтер-Харрис) (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в области проксимального эпифиза большеберцовой кости (Сальтер-Харрис) (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в области седалищной или лонной кости (до 10 кг),35570,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в области седалищной или лонной кости (собаки 10 - 25 кг),35570,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в области седалищной или лонной кости (собаки более 25 кг),35570,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в области эпифиза бедренной кости (Сальтер-Харрис) (до 10 кг),35570,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в области эпифиза бедренной кости (Сальтер-Харрис) (собаки 10 - 25 кг),35570,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в области эпифиза бедренной кости (Сальтер-Харрис) (собаки более 25 кг),35570,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в проксимальной части большеберцовой кости (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в проксимальной части большеберцовой кости (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе в проксимальной части большеберцовой кости (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе верхней челюсти (до 10 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при переломе верхней челюсти (собаки 10 - 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при переломе верхней челюсти (собаки более 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при переломе головки бедренной кости (эпифизиолиз) (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе головки бедренной кости (эпифизиолиз) (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе головки бедренной кости (эпифизиолиз) (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе дистального эпифиза большеберцовой кости (Сальтер-Харрис) (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе дистального эпифиза большеберцовой кости (Сальтер-Харрис) (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе дистального эпифиза большеберцовой кости (Сальтер-Харрис) (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе коленной чашки (до 10 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при переломе коленной чашки (собаки 10 - 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при переломе коленной чашки (собаки более 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при переломе костей плюсны (до 10 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе костей плюсны (собаки 10 - 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе костей плюсны (собаки более 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе крестцово-подвздошного сочленения (одна сторона) (до 10 кг),21180,Хирургия,Травматология и ортопедия
Остеосинтез при переломе крестцово-подвздошного сочленения (одна сторона) (собаки 10 - 25 кг),25770,Хирургия,Травматология и ортопедия
Остеосинтез при переломе крестцово-подвздошного сочленения (одна сторона) (собаки более 25 кг),28310,Хирургия,Травматология и ортопедия
Остеосинтез при переломе латерального мыщелка плечевой кости (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе латерального мыщелка плечевой кости (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе латерального мыщелка плечевой кости (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе локтевого бугра (до 10 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при переломе локтевого бугра (собаки 10 - 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при переломе локтевого бугра (собаки более 25 кг),22870,Хирургия,Травматология и ортопедия
Остеосинтез при переломе медиального мыщелка плечевой кости (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе медиального мыщелка плечевой кости (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе медиального мыщелка плечевой кости (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе пястных костей и фаланг пальцев (до 10 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе пястных костей и фаланг пальцев (собаки 10 - 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе пястных костей и фаланг пальцев (собаки более 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе пяточной кости (до 10 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе пяточной кости (собаки 10 - 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе пяточной кости (собаки более 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе таранной кости (до 10 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе таранной кости (собаки 10 - 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе таранной кости (собаки более 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе центральной заплюсневой кости (до 10 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе центральной заплюсневой кости (собаки 10 - 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе центральной заплюсневой кости (собаки более 25 кг),19060,Хирургия,Травматология и ортопедия
Остеосинтез при переломе шейки бедренной кости (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе шейки бедренной кости (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломе шейки бедренной кости (собаки более 25 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломо-вывихе по типу Монтеджи (до 10 кг),30490,Хирургия,Травматология и ортопедия
Остеосинтез при переломо-вывихе по типу Монтеджи (собаки 10 - 25 кг),30490,Хирургия,Травматология и ортопедия
